,freight_value,price,payment_value,payment_installments
71848,17.92,36.9,54.82,1
26792,18.15,129.0,147.15,3
96221,15.2,64.9,80.1,1
4510,8.64,99.9,274.45,5
19458,11.89,55.0,66.89,3
30338,18.23,12.09,151.6,3
61073,17.75,72.0,89.75,4
16320,13.44,59.99,73.43,7
28644,24.84,46.0,70.84,1
57160,18.56,107.9,126.46,2
61777,14.1,35.9,50.0,2
8289,36.86,112.0,148.86,1
103919,28.04,280.0,924.12,10
1155,45.02,79.99,250.02,1
54831,12.21,299.99,355.33,3
79374,19.61,59.9,79.51,1
15131,8.72,23.9,34.89,3
7875,7.78,21.99,29.77,1
55924,8.72,39.99,97.42,1
76358,17.6,19.9,37.5,1
47938,15.59,119.9,135.49,1
1824,12.13,89.9,102.03,1
26120,17.63,42.99,60.62,2
36635,34.15,29.99,64.14,2
87526,17.6,49.0,66.6,3
55369,18.09,235.9,507.98,10
7863,7.78,24.99,32.77,3
104819,18.28,68.5,86.78,1
90452,11.17,24.9,108.21,2
28238,13.37,48.9,62.27,2
74924,12.79,15.0,55.58,2
24952,45.3,120.0,165.3,3
11830,13.21,93.0,106.21,1
1413,18.62,299.99,318.61,10
42395,7.39,13.99,42.76,2
32366,19.14,179.9,199.04,2
18924,8.5,49.0,57.5,1
23864,8.82,29.9,38.72,3
37270,13.08,35.0,48.08,1
2660,4.26,109.9,266.75,5
34200,16.11,33.9,25.03,1
101777,17.92,26.9,44.82,1
80560,17.94,99.0,116.94,1
35678,12.76,179.9,192.66,10
32909,19.99,269.9,289.89,8
65105,18.17,83.99,20.0,1
44641,22.14,29.99,52.13,1
78997,16.11,128.9,145.01,1
107732,16.96,410.0,426.96,1
82849,18.55,139.9,158.45,1
79204,19.89,99.9,119.79,1
69143,14.33,285.0,299.33,8
44081,7.91,23.6,31.51,1
83686,7.78,64.9,4.84,1
39962,8.72,25.0,26.25,1
45867,16.79,19.9,36.69,1
48992,17.12,89.0,318.17,4
63405,69.21,249.9,319.11,6
45199,9.94,249.9,259.84,1
104264,15.47,83.8,99.27,2
100895,19.43,189.9,209.33,10
99757,7.78,49.0,56.78,2
63517,17.84,199.99,217.83,3
31931,14.12,240.0,254.12,8
65955,10.46,149.91,160.37,5
110561,7.78,38.9,93.36,1
98024,23.19,86.63,109.82,1
16126,16.05,119.99,136.04,10
48233,35.15,1199.0,1234.15,6
20555,10.96,24.9,35.86,1
43960,18.23,19.2,37.43,1
57510,7.98,159.0,166.98,2
4537,34.24,99.9,134.14,1
65208,8.37,89.49,97.86,1
38393,7.39,46.0,106.78,5
75883,16.95,34.2,51.15,1
41260,12.69,39.9,100.0,1
11587,16.07,53.9,6.34,1
97827,51.69,199.9,251.59,1
80848,9.02,179.49,188.51,1
3418,16.29,220.0,70.45,4
67408,15.1,18.74,33.84,3
27929,14.33,85.4,37.73,1
6148,9.09,44.9,53.99,1
63881,50.28,69.0,238.56,1
59576,16.98,76.89,93.87,2
20334,13.71,49.9,63.61,1
73336,15.94,109.99,125.93,2
10823,28.82,59.9,77.44,1
29786,7.56,19.9,54.92,1
67872,16.66,147.13,163.79,4
33491,16.19,155.97,172.16,2
35978,14.1,39.9,54.0,1
42617,29.03,89.9,356.79,5
63464,21.15,45.9,67.05,2
47090,18.85,139.0,157.85,1
30067,15.56,113.8,129.36,3
100177,14.18,166.0,360.36,1
18928,14.1,49.0,63.1,1
20713,15.49,24.9,76.84,3
2327,15.38,89.9,105.28,5
29727,12.35,28.9,41.25,1
47203,17.03,199.99,217.02,6
8089,15.42,45.0,60.42,2
22563,19.65,58.99,78.64,1
14536,20.98,69.9,90.88,2
104746,19.32,36.65,55.97,1
31298,7.45,26.99,34.44,1
80419,20.13,166.0,186.13,8
5464,16.28,74.9,182.36,10
12769,0.03,35.0,369.65,4
63068,26.77,72.9,99.67,1
31383,7.78,13.99,21.77,1
40518,13.79,109.9,123.69,4
40892,13.08,72.0,85.08,3
88843,16.52,46.9,63.42,1
49673,16.05,329.0,345.05,2
77710,0.02,39.99,116.39,1
12870,62.49,250.0,312.49,10
89929,14.34,149.0,163.34,8
50340,20.99,59.9,80.89,1
30272,38.99,99.97,138.96,1
18948,7.78,29.0,36.78,1
34736,9.79,139.9,149.69,10
29441,13.81,209.99,223.8,7
88987,11.52,72.0,83.52,6
61442,17.37,89.9,214.54,8
52570,8.03,110.32,236.7,1
105137,14.52,30.65,45.17,3
79871,18.64,199.0,217.64,6
91858,82.92,299.98,765.8,5
27349,12.79,49.0,61.79,2
14519,27.16,119.8,146.96,10
70662,4.35,77.9,212.83,1
88346,20.36,90.0,110.36,1
33389,16.12,195.0,211.12,10
83989,18.23,28.99,47.22,1
69898,18.59,166.33,184.92,1
8501,18.4,43.0,122.8,1
97762,12.79,24.99,75.56,1
10843,17.63,53.9,143.06,2
50520,13.25,45.0,116.5,8
51687,15.38,89.9,105.28,1
55212,29.1,99.9,387.0,4
1002,39.56,89.98,777.24,10
111850,18.23,39.9,348.78,2
86587,8.26,120.0,128.26,3
53160,16.79,38.99,55.78,5
20933,13.22,79.9,186.24,2
28076,15.48,89.5,419.92,10
99795,9.34,55.0,64.34,1
80191,23.07,69.9,92.97,1
17170,16.11,49.9,66.01,5
39649,20.44,210.0,230.44,3
5711,12.33,89.9,102.23,8
90685,12.79,17.5,30.29,3
84818,15.79,19.99,35.78,2
103662,13.46,129.0,142.46,3
8277,45.03,135.0,180.03,1
49341,16.6,50.0,66.6,1
39336,28.64,299.99,328.63,1
102592,19.61,59.99,159.2,4
35912,8.72,45.9,54.62,1
304,18.73,144.99,163.72,8
64475,15.24,69.9,85.14,1
62111,15.79,31.9,47.69,1
42027,13.86,39.9,19.53,1
41288,13.71,49.0,62.71,1
46862,22.77,119.5,284.54,5
78595,18.91,89.9,108.81,1
56304,11.98,164.9,176.88,6
76469,24.79,315.0,339.79,1
81954,15.59,69.9,85.49,4
78031,38.99,16.0,54.99,1
28046,14.08,43.9,57.98,4
76485,35.98,94.0,129.98,1
83407,16.46,99.9,116.36,2
50398,19.54,50.0,69.54,2
110780,20.75,378.0,198.75,2
46496,11.85,25.99,37.84,1
37951,19.61,60.0,79.61,1
29634,14.83,492.04,506.87,4
82084,11.9,99.9,111.8,4
110466,20.4,308.8,329.2,6
1637,16.15,69.9,86.05,5
109278,15.7,135.0,150.7,4
54930,9.72,129.9,279.24,3
71230,11.85,45.0,30.0,1
29276,9.48,104.49,113.97,3
111974,28.04,94.0,0.0,1
63551,54.48,569.0,623.48,4
27858,17.84,84.9,102.74,10
56253,21.9,138.0,479.7,1
3241,16.39,89.9,106.29,6
4988,47.92,179.9,227.82,1
47492,8.27,56.9,65.17,1
99615,35.94,89.0,124.94,1
104883,18.45,49.9,68.35,3
90922,17.8,79.0,96.8,1
32067,25.69,569.0,594.69,10
31176,7.39,17.99,25.38,1
20445,34.15,13.9,20.0,1
95215,15.23,24.95,40.18,3
56461,17.63,45.04,62.67,1
68709,15.1,22.5,225.6,1
110101,9.07,83.9,92.97,5
48342,16.79,15.9,65.38,1
42159,18.86,229.9,248.76,1
66160,18.36,36.75,55.11,5
6483,17.95,99.9,117.85,6
37406,21.68,120.0,141.68,1
68986,17.06,69.99,87.05,4
44513,15.28,24.99,40.27,1
3221,37.1,254.4,291.5,5
20070,7.78,69.0,76.78,3
60025,13.44,59.9,73.34,3
89975,15.56,116.0,131.56,2
43149,12.87,75.99,88.86,1
47621,43.68,199.9,243.58,4
64573,28.71,349.9,191.56,10
69264,18.85,138.0,156.85,4
70501,17.03,84.9,101.93,3
55375,16.77,289.0,305.77,4
28027,14.32,83.9,98.22,9
87032,18.23,33.6,51.83,2
27183,17.99,125.0,249.99,4
85407,19.53,79.9,99.43,3
61003,17.6,22.99,40.59,4
102695,32.02,79.9,143.39,3
81593,7.78,39.9,47.68,1
69575,17.58,189.99,207.57,2
6561,35.32,254.9,290.22,4
56255,18.55,138.0,313.1,8
90413,7.76,71.0,78.76,3
46376,74.69,248.99,323.68,1
27012,15.1,45.0,60.1,1
96078,15.68,132.9,148.58,4
82437,15.1,41.9,57.0,1
88070,13.92,48.0,247.68,4
3580,18.88,143.0,161.88,10
8579,15.1,26.49,83.18,1
2662,15.52,109.9,125.42,1
11145,17.67,59.9,77.57,1
7355,15.79,24.99,40.78,1
110828,15.4,82.0,544.41,10
44304,9.27,21.0,30.27,3
111909,18.51,59.0,77.51,1
87131,12.41,129.9,142.31,5
1938,16.26,89.9,100.0,1
51617,9.05,99.0,216.1,2
19454,7.78,55.0,62.78,1
85378,26.03,169.99,196.02,2
76582,18.05,68.57,86.62,4
101404,21.43,89.99,111.42,1
101162,18.44,49.0,67.44,1
19135,13.33,95.0,108.33,3
47386,16.42,59.9,152.64,5
52306,16.96,265.0,281.96,1
109309,18.03,159.9,177.93,1
36773,15.23,18.99,30.3,1
104770,15.35,34.99,100.68,3
69829,13.82,99.49,28.94,2
84028,12.79,27.9,40.69,1
54549,12.17,138.0,150.17,1
45764,16.79,14.9,31.69,1
58299,12.23,74.99,87.22,2
70689,18.65,77.9,96.55,1
104302,26.52,379.99,406.51,6
85063,314.4,1045.0,1359.4,6
4548,20.62,99.9,120.52,1
47977,7.56,19.9,27.46,2
105981,11.85,35.0,46.85,4
60565,31.66,144.99,176.65,3
35659,15.49,189.0,204.49,8
102776,17.27,360.0,377.27,1
57273,35.67,20.0,55.67,1
104768,7.39,34.99,42.38,1
27721,13.57,79.0,92.57,1
7326,12.79,24.99,24.3,1
90163,22.0,95.0,234.0,1
55042,9.51,99.9,109.41,1
69552,16.39,89.99,106.38,1
84783,2.27,7.0,71.95,1
43332,23.34,107.9,131.24,4
33293,35.14,190.83,225.97,1
78848,18.84,79.99,98.83,1
66906,13.82,69.9,236.54,10
65021,18.4,169.9,188.3,1
37155,16.79,35.9,52.69,1
98547,7.78,9.9,17.68,1
2735,11.87,68.9,80.77,4
54619,10.35,112.0,122.35,10
17425,9.66,39.99,49.65,2
76662,16.11,21.9,38.01,1
55488,73.41,599.0,1344.82,8
47364,18.34,109.9,128.24,1
36162,12.79,8.9,43.38,1
105338,1.2,51.0,783.0,10
109416,23.29,210.0,233.29,4
12432,23.08,40.0,126.16,1
16517,36.68,87.85,216.72,1
82430,11.15,23.95,35.1,1
62627,14.1,17.89,31.99,1
99166,22.93,44.99,67.92,3
86605,17.87,204.0,221.87,4
22379,19.13,84.99,104.12,1
9138,7.91,24.87,32.78,1
80555,9.34,59.0,68.34,1
103046,24.16,598.0,622.16,10
88289,15.79,24.9,40.69,4
28437,17.67,59.9,77.57,7
98050,16.59,270.0,839.77,1
105630,7.78,10.99,18.77,1
55992,12.0,113.9,125.9,1
42236,15.95,119.99,135.94,6
7217,7.46,27.99,35.45,3
12601,15.11,38.4,214.04,1
90391,16.6,23.9,162.0,1
21210,9.44,89.99,99.43,7
23334,9.27,52.9,10.84,1
49580,24.88,503.34,528.22,4
56066,7.78,44.9,52.68,1
38760,11.85,27.3,39.15,3
53978,15.27,74.9,25.28,1
106525,46.72,416.99,463.71,1
72875,44.62,259.9,304.52,8
7301,15.1,27.99,43.09,4
89127,12.79,33.99,93.56,8
109202,14.77,149.0,163.77,1
23637,14.09,98.9,112.99,5
56231,27.84,77.9,105.74,1
9209,7.78,16.9,24.68,1
20333,12.79,49.9,62.69,1
56348,12.84,56.8,19.64,1
59791,17.7,64.9,82.6,1
54416,29.57,498.0,527.57,3
2540,13.67,86.9,8.23,1
92293,31.97,174.9,206.87,3
2143,12.13,89.9,102.03,1
39626,24.47,189.0,213.47,1
88778,15.23,9.14,18.12,1
11834,21.73,93.0,114.73,2
106321,8.72,79.9,88.62,8
4080,18.57,99.0,117.57,1
108435,12.48,59.45,143.86,1
75070,7.39,49.9,57.29,1
35259,9.49,319.0,160.52,2
100217,33.02,324.3,357.32,6
43107,50.85,34.99,85.84,8
45948,42.38,19.9,62.28,1
77946,16.74,110.0,76.74,1
90399,14.28,75.9,90.18,1
88980,9.16,89.0,196.32,10
79959,20.63,199.0,219.63,6
49667,16.74,149.0,165.74,3
99530,14.24,69.9,84.14,8
29199,9.27,20.49,119.04,2
31978,15.8,149.9,165.7,10
28098,17.97,102.9,120.87,6
51549,16.47,119.99,136.46,2
103400,31.38,89.99,121.37,1
43624,15.1,45.0,60.1,1
68632,10.21,199.0,209.21,1
91758,46.94,58.0,104.94,7
64955,11.39,108.99,481.52,10
98473,51.65,434.0,1100.0,5
34669,16.23,209.9,226.13,5
12734,19.46,38.4,173.58,1
61504,12.55,59.9,144.9,14
50895,6.87,89.9,195.56,3
17680,15.1,49.95,65.05,4
101381,26.89,198.95,225.84,5
16234,18.16,129.99,148.15,2
32200,12.89,199.0,211.89,2
103940,16.41,62.9,79.31,1
38717,15.1,20.3,35.4,1
80471,113.72,610.0,723.72,10
15314,17.95,99.99,117.94,5
2271,12.13,89.9,102.03,6
18726,12.79,49.0,61.79,2
70516,12.7,82.0,94.7,2
76657,14.26,260.0,274.26,1
75921,11.85,24.5,36.35,2
36675,10.96,18.99,29.95,1
63242,16.67,59.9,76.57,1
62466,19.04,12.67,31.71,1
68629,23.71,199.0,222.71,1
23111,18.41,75.9,94.31,2
80279,23.92,149.9,173.82,2
22898,7.39,6.0,13.39,1
742,15.7,116.99,132.69,8
99314,16.82,54.9,71.72,2
94834,27.48,89.9,117.38,1
20305,5.78,38.9,50.0,1
42400,15.1,13.99,58.18,1
103676,12.13,89.99,102.12,1
38625,18.34,155.0,173.34,1
56695,17.21,66.99,84.2,3
45604,15.1,17.9,33.0,1
94976,8.72,26.4,51.64,1
49293,17.61,52.0,69.61,1
52820,15.85,137.9,153.75,10
22893,7.78,6.0,13.78,1
68394,19.46,69.95,89.41,1
71115,21.14,98.0,19.14,1
15894,25.56,144.99,170.55,3
49873,11.85,119.0,130.85,2
103093,19.65,97.0,116.65,5
61942,7.74,22.32,3.91,1
76932,12.79,25.9,77.38,2
53069,15.79,11.97,27.76,2
110055,13.55,309.0,322.55,5
29746,15.31,29.9,45.21,1
103386,75.06,189.98,265.04,3
99762,7.78,49.0,113.56,4
53484,26.54,34.0,60.54,1
13814,13.75,56.0,139.5,1
37450,20.98,69.9,181.76,3
28601,31.09,689.89,720.98,9
94827,8.21,135.0,286.42,1
32569,15.87,159.9,175.77,1
962,72.93,79.99,611.68,1
70965,18.36,36.9,55.26,2
6516,16.68,149.9,166.58,1
82791,17.92,24.95,42.87,1
78093,12.93,69.71,165.28,6
77640,27.97,159.9,187.87,12
110930,13.37,39.6,158.91,1
64345,13.23,46.9,60.13,1
19729,11.85,49.0,60.85,1
92719,21.18,98.99,120.17,1
30059,20.61,159.9,180.51,6
42720,7.78,3.85,11.63,1
11680,17.26,49.9,67.16,3
66752,7.7,119.99,127.69,1
88556,19.09,25.9,44.99,4
49529,9.34,15.0,24.34,1
7547,7.78,24.99,32.77,3
31360,14.1,9.99,48.18,1
65885,38.95,200.4,239.35,1
26239,5.7,64.9,241.89,1
17497,6.78,39.99,46.77,4
7057,12.87,29.99,42.86,1
21731,7.78,19.99,27.77,1
28707,39.1,149.9,189.0,1
62599,18.23,12.47,30.7,3
89166,8.3,19.9,28.2,1
39471,18.53,349.99,368.52,1
36341,15.1,19.9,21.88,1
26112,24.84,42.99,67.83,1
55143,17.92,38.6,113.04,2
59864,13.61,84.9,98.51,3
62330,15.79,38.9,54.69,2
25661,11.85,24.99,73.68,3
26743,13.57,79.0,92.57,1
29595,34.45,1169.44,253.89,10
72292,15.17,59.9,225.21,2
39127,17.95,54.9,72.85,1
15486,15.91,99.99,115.9,1
82175,19.54,49.9,208.32,1
36682,15.23,39.99,110.44,10
17240,10.96,45.9,56.86,1
36280,17.09,49.9,133.98,10
28417,17.67,59.9,155.14,7
102227,12.99,46.9,59.89,1
74468,8.27,20.0,28.27,1
24186,32.81,29.99,39.42,1
38796,8.11,20.3,28.41,1
81260,7.51,35.0,42.51,1
92780,7.78,19.9,83.04,1
51402,15.1,38.9,108.0,10
30175,23.22,339.9,363.12,1
52473,14.06,149.0,163.06,10
32942,16.09,190.9,201.65,1
80310,21.05,79.9,100.95,6
55802,12.76,49.99,62.75,1
51640,14.83,275.0,289.83,1
56347,1.76,84.99,200.39,5
22950,19.77,113.85,133.62,2
101247,15.1,16.9,32.0,1
109270,29.11,398.0,854.22,8
10238,13.44,59.9,73.34,2
87014,69.77,129.89,399.32,8
7600,21.15,39.9,61.05,3
38496,16.05,59.9,79.18,4
15192,14.52,34.9,49.42,2
6184,20.99,129.9,150.89,1
96435,7.39,45.99,160.14,1
78492,16.19,61.0,154.38,3
103568,139.48,2199.0,2338.48,10
91375,9.44,47.9,57.34,5
73828,14.52,25.99,40.51,4
23796,27.72,109.9,137.62,1
68479,27.58,85.9,226.96,3
105911,27.54,99.0,126.54,1
44060,18.23,10.5,28.73,1
40945,10.96,29.9,40.86,1
44966,14.52,149.9,164.42,1
111198,23.91,139.99,163.9,3
22724,11.73,58.99,70.72,6
105702,99.56,429.99,14.1,1
78016,15.23,24.0,39.23,1
55616,80.13,730.0,810.13,5
96716,25.81,138.0,28.04,1
46269,13.72,166.99,180.71,5
56916,36.39,179.9,216.29,10
43559,16.79,48.9,262.76,1
56037,20.88,60.9,81.78,1
16986,16.14,54.9,71.04,2
16512,15.1,29.9,170.0,2
25141,77.6,139.99,21.11,1
64832,27.13,149.9,177.03,3
81740,35.19,199.0,234.19,8
26985,21.47,118.5,25.0,1
95663,27.24,99.85,254.18,5
26686,13.57,79.0,92.57,5
14664,17.19,107.0,124.19,4
11404,17.67,59.9,155.14,3
34473,16.11,38.0,54.11,5
35756,13.41,399.9,413.31,10
77934,7.71,28.99,23.27,1
97765,7.87,13.99,21.86,1
40196,12.9,79.9,92.8,1
80925,12.2,99.49,111.69,1
29799,27.42,19.9,47.32,4
4556,23.57,99.9,123.47,6
8241,73.54,99.0,172.54,3
91611,88.0,69.99,157.99,1
93785,19.48,159.9,473.21,3
41742,18.53,176.9,195.43,10
5581,11.64,89.9,237.31,1
90604,15.1,19.9,35.0,1
33209,14.34,239.9,254.24,2
89279,22.99,58.5,81.49,1
17168,16.27,72.9,178.34,3
85364,58.54,107.0,165.54,1
14409,21.62,139.9,161.52,2
58512,7.39,12.25,39.28,1
30758,24.97,119.99,144.96,1
30939,8.4,47.0,55.4,1
93509,17.63,16.9,34.53,1
74446,13.7,249.0,262.7,1
78446,44.29,809.1,853.39,10
13152,12.69,32.99,274.08,1
67776,16.05,26.9,20.0,1
41856,16.27,54.99,106.77,10
111293,17.0,67.0,84.0,2
28970,53.18,149.9,203.08,1
13433,23.08,40.0,189.24,1
80505,65.07,712.3,777.37,1
106927,14.12,42.0,56.12,1
33940,27.37,118.9,146.27,2
62764,15.1,16.97,32.07,1
37184,15.79,49.9,65.69,2
9158,15.43,97.49,112.92,1
491,82.35,146.99,229.34,2
13203,8.88,20.89,59.54,1
17901,16.13,52.3,136.86,4
27545,15.23,69.0,84.23,1
72724,16.79,18.17,34.96,1
11317,17.63,53.9,143.06,2
63340,11.85,15.3,27.15,1
56771,23.78,139.9,163.68,3
1137,17.42,139.99,157.41,10
37540,19.98,69.9,89.88,5
5096,17.38,159.0,176.38,3
61941,7.74,22.32,26.28,2
105424,11.13,6.12,297.02,10
21355,7.82,79.99,87.81,2
52938,18.23,12.99,31.22,1
69701,15.23,32.9,48.13,1
17147,20.3,89.9,196.95,1
2783,26.38,220.0,246.38,3
49014,16.91,67.0,167.82,10
26090,15.79,44.9,60.69,1
1449,15.28,59.99,52.71,1
44620,7.78,29.99,37.77,3
22511,16.66,58.99,75.65,2
5879,15.16,99.9,146.28,5
29701,14.1,42.9,57.0,1
65372,12.68,78.9,91.58,2
86439,32.79,125.0,157.79,2
55465,17.25,212.4,229.65,4
87807,13.73,198.99,212.72,3
12212,13.68,49.0,62.68,1
30379,23.22,21.15,44.37,3
93728,14.1,49.89,63.99,3
13099,17.92,38.4,168.96,10
65933,17.15,199.0,864.6,10
20876,15.1,18.9,34.0,1
19899,7.39,55.0,62.39,1
95222,7.78,9.95,17.73,1
5488,9.74,74.9,84.64,5
73595,11.85,17.0,28.85,2
103392,20.88,129.99,150.87,1
102190,76.08,530.0,606.08,10
24786,29.5,139.0,505.5,5
57718,21.15,43.9,65.05,1
101188,13.48,179.99,580.41,8
22400,15.35,84.99,100.34,1
73966,15.94,119.0,134.94,4
104719,8.81,149.99,158.8,3
97481,16.47,196.0,212.47,3
43247,18.23,31.0,147.69,1
62616,7.39,13.77,21.16,1
101089,52.48,39.97,37.46,1
83761,11.74,24.99,36.73,3
92985,15.23,10.9,26.13,2
33594,10.19,419.9,430.09,1
97107,16.11,21.9,38.01,1
97491,8.43,95.0,103.43,1
10813,13.44,59.9,146.68,9
42157,17.93,39.9,57.83,1
3804,18.57,109.9,128.47,1
68427,22.76,17.73,53.98,5
2062,23.14,79.9,103.04,4
20801,19.47,39.9,59.37,5
18694,14.1,49.0,63.1,3
34131,12.79,14.9,27.69,1
65301,17.07,89.8,213.74,1
53337,25.25,99.9,125.15,6
20747,11.85,18.9,61.5,5
111418,16.05,24.99,41.04,1
107556,17.3,149.9,167.2,1
28726,36.6,149.9,186.5,1
98356,15.37,74.9,90.27,3
34950,7.78,34.9,42.68,1
91058,16.74,139.9,156.64,6
94059,13.03,84.9,195.86,3
53048,18.28,24.99,43.27,1
54744,14.79,69.0,76.09,2
49064,23.14,719.9,743.04,3
19529,15.37,89.0,104.37,4
6290,23.35,109.9,133.25,4
24808,22.75,179.0,201.75,4
20068,19.84,249.0,268.84,8
101790,16.65,269.9,286.55,1
62638,11.85,16.5,28.35,1
78662,17.62,129.99,147.61,2
92885,18.3,28.99,47.29,1
81294,167.05,69.9,1421.69,1
11168,28.82,59.9,20.0,1
2888,19.23,48.9,68.13,1
22536,17.66,58.99,76.65,2
20302,16.11,38.9,55.01,5
2040,29.28,86.9,206.01,1
7756,12.79,24.99,37.78,1
44625,21.15,29.99,51.14,5
86797,30.15,159.0,189.15,10
20371,18.1,120.9,139.0,5
13235,15.43,75.0,90.43,1
8092,7.9,45.0,52.9,1
66516,15.69,133.9,149.59,2
59203,7.39,13.65,21.04,1
107077,67.09,630.0,697.09,3
50743,22.34,89.5,111.84,1
29298,15.76,145.0,160.76,7
37130,19.6,89.9,109.5,1
88159,19.64,95.2,229.68,5
59709,23.0,59.9,49.9,1
109687,16.32,31.99,289.86,1
46968,15.71,118.0,133.71,5
39976,23.52,52.9,76.42,4
34444,14.22,70.0,84.22,4
100045,23.6,145.9,169.5,8
112295,10.96,8.25,19.21,1
52272,13.1,62.9,152.0,1
77163,17.93,29.9,47.83,1
52128,12.54,59.0,71.54,1
32644,13.53,123.9,137.43,6
9979,11.75,53.9,286.12,1
108444,24.25,189.0,14.88,1
84870,16.23,67.77,84.0,3
45544,16.6,29.75,278.1,1
6579,18.38,39.9,174.84,3
24605,19.06,68.0,215.56,6
71909,15.23,16.75,31.98,1
62252,15.23,27.9,43.13,1
61059,30.86,79.0,109.86,1
6818,31.66,129.99,73.28,5
55774,11.85,29.99,41.84,1
82483,18.31,152.0,170.31,1
90667,11.91,58.5,70.41,1
71456,50.57,998.0,1048.57,10
105123,2.1,29.9,147.98,10
24244,16.32,80.0,96.32,1
95038,15.82,139.0,154.82,10
52322,15.0,169.0,184.0,6
32415,26.53,688.0,550.11,1
107657,18.53,200.0,218.53,10
95486,16.76,265.0,281.76,8
89193,34.49,98.99,133.48,1
74194,11.14,75.0,86.14,1
24114,12.79,19.9,32.69,1
10433,8.84,59.9,137.47,1
41475,43.97,229.04,273.01,4
25197,61.35,139.0,200.35,15
71816,18.7,59.9,78.6,4
15725,18.16,129.99,148.15,4
50267,17.73,219.9,712.89,1
107069,10.5,250.0,260.5,4
18581,1.91,55.0,181.89,10
10182,17.6,49.9,67.5,1
59741,13.96,134.9,148.86,1
63525,19.22,160.0,179.22,1
26768,18.01,109.0,127.01,2
96796,63.65,795.0,858.65,10
42277,25.54,99.99,125.53,8
86558,15.51,252.0,267.51,6
9667,17.46,75.0,462.3,1
79505,9.23,159.99,476.99,9
29625,18.18,633.14,651.32,10
76381,34.15,19.99,54.14,1
29333,28.22,279.64,307.86,1
88654,17.32,58.99,76.31,1
64101,25.88,148.0,100.0,1
97464,58.03,160.0,1308.18,10
20807,52.72,52.9,105.62,1
58099,14.86,109.99,124.85,1
8191,37.99,99.0,273.98,4
67895,38.47,59.9,98.37,3
68265,4.28,63.9,227.63,10
46356,35.91,248.99,284.9,1
69241,16.6,39.9,56.5,1
10644,17.66,59.0,383.3,6
82487,23.51,133.0,40.02,4
61965,14.1,31.9,46.0,4
50310,13.44,59.9,73.34,1
61983,22.09,22.32,44.41,1
21564,7.78,23.99,31.77,1
87623,79.16,142.0,186.97,3
15872,12.25,149.99,162.24,3
26537,15.1,44.9,60.0,2
19141,18.55,95.0,113.55,5
44346,18.95,121.0,139.95,1
11043,17.67,59.9,77.57,1
51504,17.32,120.0,274.64,20
36246,15.1,37.9,106.0,4
97384,17.95,99.9,117.85,4
1419,46.48,289.0,1006.44,5
79326,19.57,53.9,146.94,4
19730,7.78,49.0,56.78,2
76732,12.85,59.0,71.85,2
50635,11.73,64.9,153.26,2
61894,21.15,31.9,53.05,5
60543,41.16,101.99,237.99,4
51916,19.53,48.9,68.43,1
36917,21.22,330.0,556.1,8
78778,14.61,62.8,77.41,4
49452,124.92,218.99,343.91,1
79591,21.71,89.9,223.22,1
42144,12.69,25.9,38.59,3
19271,7.39,55.0,62.39,3
38033,15.67,110.0,125.67,2
48749,11.15,71.3,82.45,1
85413,19.53,79.9,99.43,1
4313,16.74,69.9,86.64,2
15820,17.16,129.99,147.15,1
24612,17.63,22.0,39.63,3
110225,18.23,16.0,34.23,1
57644,19.66,66.39,86.05,1
51777,19.65,59.0,78.65,3
99784,7.4,19.99,27.39,1
77300,19.74,49.99,117.43,3
8880,15.1,29.49,44.59,2
65257,15.34,84.89,100.23,3
36083,15.94,39.9,211.67,1
6748,15.41,129.9,145.31,2
50943,21.57,109.9,131.47,8
112242,21.97,189.9,211.87,8
61819,14.11,35.9,50.01,1
77447,18.41,44.0,62.41,1
96984,61.16,125.0,186.16,3
11426,17.6,49.9,67.5,1
6443,16.11,39.9,43.85,1
48407,18.24,51.0,415.44,8
2989,18.53,93.9,507.76,1
74558,25.42,412.0,437.42,1
32025,9.07,243.0,252.07,3
52521,7.64,110.32,607.76,6
35711,11.51,129.0,140.51,1
6071,18.09,119.9,2.13,1
102896,23.21,79.9,321.69,6
3182,19.46,69.9,89.36,6
39301,8.04,89.99,98.03,2
60349,28.63,178.0,206.63,1
37061,11.77,39.9,51.67,2
74617,15.29,27.5,128.37,1
201,9.9,114.6,622.51,10
23152,17.97,42.9,121.74,8
84487,15.1,44.9,60.0,1
466,49.4,146.94,196.34,1
100274,140.4,359.0,499.4,8
64738,6.48,39.9,85.74,1
36117,11.2,350.0,361.2,8
89404,43.31,129.0,344.62,3
1635,14.63,69.9,221.92,8
105269,17.6,49.99,270.36,10
65508,13.61,838.0,851.61,3
68929,22.7,109.9,132.6,1
37076,31.57,99.9,131.47,6
53047,22.06,16.99,39.05,3
79881,18.64,199.0,217.64,10
69475,17.6,34.99,105.18,2
63796,32.39,790.0,2467.17,10
62991,17.6,28.8,46.4,1
68508,12.85,26.9,39.75,1
36971,10.47,325.0,335.47,2
10654,13.43,49.9,63.33,1
7339,22.85,27.99,50.84,1
16886,11.85,24.9,36.75,1
107316,14.1,38.0,52.1,1
14430,27.16,119.8,146.96,1
59444,15.23,12.9,28.13,1
86421,118.06,348.9,466.96,3
81230,17.73,85.0,102.73,4
75795,11.85,19.9,63.5,1
36493,18.23,44.99,63.22,1
5144,9.0,219.9,457.8,8
42584,36.49,204.0,240.49,1
56966,14.46,104.99,119.45,1
